@file,1,Traktor Kontrol S2 MK3
Browse,,Rotary,B119,,,,,,,,,,,
Browse,,Rotary,B319,,,,,,,,,,,
ChannelFader,,KnobSlider,,B501,B601,,,,,,,,,
CrossFader,,KnobSlider,B701,,,,,,,,,,Fast;,
Cue,,Button,,9102,9302,,,,9102,9302,,,Fast;Blink=500;Priority=50;,
EQHigh,,KnobSlider,,B505,B605,,,,,,,,Fast;,
EQLow,,KnobSlider,,B503,B603,,,,,,,,Fast;,
EQMid,,KnobSlider,,B504,B604,,,,,,,,Fast;,
Gain,,KnobSlider,,B506,B606,,,,,,,,Fast;,
GridAdjust,,Button,,910D,930D,,,,910D,930D,,,,
HeadphoneCue,,Button,,9508,9608,,,,9508,9608,,,,
HeadphonesMix,,KnobSlider,B707,,,,,,,,,,,
HeadphonesVolume,,KnobSlider,B706,,,,,,,,,,,
HotCue,,Button,,910B,,,,,910B,,,,Fast;,
KeySync,,Button,,910F,930F,,,,910F,930F,,,,
Load,,Button,,9118,9318,,,,,,,,,
MFX1,,Rotary,B502,,,,,,,,,,,
MFX2,,Rotary,B602,,,,,,,,,,,
MasterLevel,,KnobSlider,B709,,,,,,,,,,,
NoFunction,,Button,,920B,,,,,920B,,,,Fast;,
NoFunction,,Button,,9227,,,,,9227,,,,Fast;,
NoFunction,,Button,,9314,,,,,9314,,,,Fast;,
NoFunction,,Button,,B31E,,,,,B31E,,,,Fast;,
NoFunction,,DdjSxPad,,9114,,,,,9114,,,,Fast;,
NoFunction,,DdjSxPad,,9203,,,,,9203,,,,Fast;,
NoFunction,,DdjSxPad,,B21E,,,,,B21E,,,,Fast;,
NoFunction,,Rotary,9129,,,,,,,,,,,
NoFunction,,Rotary,9329,,,,,,,,,,,
NoFunction,,Button,,,,,,,9118,9318,,,,
NoFunction,,Button,,,,,,,9129,9329,,,,
PAD1_HotCue,,DdjSxPad,,9103,,,,,9103,,,,Fast;,
PAD1_HotCue+Shift,,DdjSxPad,,9127,,,,,9127,,,,Fast;,
PAD1_PadFx1,,DdjSxPad,,B11E,,,,,B11E,,,,Fast;,
PAD2_HotCue,,DdjSxPad,,9104,,,,,9104,,,,Fast;,
PAD2_HotCue+Shift,,DdjSxPad,,9204,,,,,9204,,,,Fast;,
PAD3_HotCue,,DdjSxPad,,9105,,,,,9105,,,,Fast;,
PAD3_HotCue+Shift,,DdjSxPad,,9205,,,,,9205,,,,Fast;,
PAD4_HotCue,,DdjSxPad,,9106,,,,,9106,,,,Fast;,
PAD4_HotCue+Shift,,DdjSxPad,,9206,,,,,9206,,,,Fast;,
PAD5_HotCue,,DdjSxPad,,9107,,,,,9107,,,,Fast;,
PAD5_HotCue+Shift,,DdjSxPad,,9207,,,,,9207,,,,Fast;,
PAD6_HotCue,,DdjSxPad,,9108,,,,,9108,,,,Fast;,
PAD6_HotCue+Shift,,DdjSxPad,,9208,,,,,9208,,,,Fast;,
PAD7_HotCue,,DdjSxPad,,9109,,,,,9109,,,,Fast;,
PAD7_HotCue+Shift,,DdjSxPad,,9209,,,,,9209,,,,Fast;,
PAD8_HotCue,,DdjSxPad,,910A,,,,,910A,,,,Fast;,
PAD8_HotCue+Shift,,DdjSxPad,,920A,,,,,920A,,,,Fast;,
PadFx1,,Button,,910C,,,,,910C,,,,Fast;,
PlayPause,,Button,,9101,9301,,,,9101,9301,,,Fast;Blink=1000;Priority=50;,
Quantize,,Button,,970A,9328,,,,970A,9328,,,,
Reverse,,Button,,9115,9315,,,,9115,9315,,,Blink=500;,
SamplerGain,,KnobSlider,B708,,,,,,,,,,,
Slip,,Button,,9116,9316,,,,9116,9316,,,,
Sync,,Button,,9110,9310,,,,9110,9310,,,Blink=600;,
TempoSlider,,KnobSlider,,B12A,B32A,,,,,,,,Fast;,
